,source,mutation_method,temperature,population_size,num_iterations,best_state,best_score
0,1,shuffle,1,5,10,"[1, 0, 2, 3, 4]",104.1531744
1,1,shuffle,1,5,50,"[1, 0, 2, 3, 4]",104.1531744
2,1,shuffle,1,5,100,"[1, 0, 2, 3, 4]",104.1531744
3,1,shuffle,1,5,200,"[1, 0, 2, 3, 4]",104.1531744
4,1,shuffle,1,5,500,"[1, 0, 2, 3, 4]",104.1531744
5,1,shuffle,1,10,10,"[1, 0, 2, 3, 4]",104.1531744
6,1,shuffle,1,10,50,"[1, 0, 2, 3, 4]",104.1531744
7,1,shuffle,1,10,100,"[1, 0, 2, 3, 4]",104.1531744
8,1,shuffle,1,10,200,"[1, 0, 2, 3, 4]",104.1531744
9,1,shuffle,1,10,500,"[1, 0, 2, 3, 4]",104.1531744
10,1,shuffle,1,20,10,"[1, 0, 2, 3, 4]",104.1531744
11,1,shuffle,1,20,50,"[1, 0, 2, 3, 4]",104.1531744
12,1,shuffle,1,20,100,"[1, 0, 2, 3, 4]",104.1531744
13,1,shuffle,1,20,200,"[1, 0, 2, 3, 4]",104.1531744
14,1,shuffle,1,20,500,"[1, 0, 2, 3, 4]",104.1531744
15,1,shuffle,1,50,10,"[1, 0, 2, 3, 4]",104.1531744
16,1,shuffle,1,50,50,"[1, 0, 2, 3, 4]",104.1531744
17,1,shuffle,1,50,100,"[1, 0, 2, 3, 4]",104.1531744
18,1,shuffle,1,50,200,"[1, 0, 2, 3, 4]",104.1531744
19,1,shuffle,1,50,500,"[1, 0, 2, 3, 4]",104.1531744
20,1,shuffle,1,100,10,"[1, 0, 2, 3, 4]",104.1531744
21,1,shuffle,1,100,50,"[1, 0, 2, 3, 4]",104.1531744
22,1,shuffle,1,100,100,"[1, 0, 2, 3, 4]",104.1531744
23,1,shuffle,1,100,200,"[1, 0, 2, 3, 4]",104.1531744
24,1,shuffle,1,100,500,"[1, 0, 2, 3, 4]",104.1531744
25,1,shuffle,2,5,10,"[1, 0, 2, 3, 4]",104.1531744
26,1,shuffle,2,5,50,"[1, 0, 2, 3, 4]",104.1531744
27,1,shuffle,2,5,100,"[1, 0, 2, 3, 4]",104.1531744
28,1,shuffle,2,5,200,"[1, 0, 2, 3, 4]",104.1531744
29,1,shuffle,2,5,500,"[1, 0, 2, 3, 4]",104.1531744
30,1,shuffle,2,10,10,"[1, 0, 2, 3, 4]",104.1531744
31,1,shuffle,2,10,50,"[1, 0, 2, 3, 4]",104.1531744
32,1,shuffle,2,10,100,"[1, 0, 2, 3, 4]",104.1531744
33,1,shuffle,2,10,200,"[1, 0, 2, 3, 4]",104.1531744
34,1,shuffle,2,10,500,"[1, 0, 2, 3, 4]",104.1531744
35,1,shuffle,2,20,10,"[1, 0, 2, 3, 4]",104.1531744
36,1,shuffle,2,20,50,"[1, 0, 2, 3, 4]",104.1531744
37,1,shuffle,2,20,100,"[1, 0, 2, 3, 4]",104.1531744
38,1,shuffle,2,20,200,"[1, 0, 2, 3, 4]",104.1531744
39,1,shuffle,2,20,500,"[1, 0, 2, 3, 4]",104.1531744
40,1,shuffle,2,50,10,"[1, 0, 2, 3, 4]",104.1531744
41,1,shuffle,2,50,50,"[1, 0, 2, 3, 4]",104.1531744
42,1,shuffle,2,50,100,"[1, 0, 2, 3, 4]",104.1531744
43,1,shuffle,2,50,200,"[1, 0, 2, 3, 4]",104.1531744
44,1,shuffle,2,50,500,"[1, 0, 2, 3, 4]",104.1531744
45,1,shuffle,2,100,10,"[1, 0, 2, 3, 4]",104.1531744
46,1,shuffle,2,100,50,"[1, 0, 2, 3, 4]",104.1531744
47,1,shuffle,2,100,100,"[1, 0, 2, 3, 4]",104.1531744
48,1,shuffle,2,100,200,"[1, 0, 2, 3, 4]",104.1531744
49,1,shuffle,2,100,500,"[1, 0, 2, 3, 4]",104.1531744
50,1,shuffle,3,5,10,"[1, 0, 2, 3, 4]",104.1531744
51,1,shuffle,3,5,50,"[1, 0, 2, 3, 4]",104.1531744
52,1,shuffle,3,5,100,"[1, 0, 2, 3, 4]",104.1531744
53,1,shuffle,3,5,200,"[1, 0, 2, 3, 4]",104.1531744
54,1,shuffle,3,5,500,"[1, 0, 2, 3, 4]",104.1531744
55,1,shuffle,3,10,10,"[1, 0, 2, 3, 4]",104.1531744
56,1,shuffle,3,10,50,"[1, 0, 2, 3, 4]",104.1531744
57,1,shuffle,3,10,100,"[1, 0, 2, 3, 4]",104.1531744
58,1,shuffle,3,10,200,"[1, 0, 2, 3, 4]",104.1531744
59,1,shuffle,3,10,500,"[1, 0, 2, 3, 4]",104.1531744
60,1,shuffle,3,20,10,"[1, 0, 2, 3, 4]",104.1531744
61,1,shuffle,3,20,50,"[1, 0, 2, 3, 4]",104.1531744
62,1,shuffle,3,20,100,"[1, 0, 2, 3, 4]",104.1531744
63,1,shuffle,3,20,200,"[1, 0, 2, 3, 4]",104.1531744
64,1,shuffle,3,20,500,"[1, 0, 2, 3, 4]",104.1531744
65,1,shuffle,3,50,10,"[1, 0, 2, 3, 4]",104.1531744
66,1,shuffle,3,50,50,"[1, 0, 2, 3, 4]",104.1531744
67,1,shuffle,3,50,100,"[1, 0, 2, 3, 4]",104.1531744
68,1,shuffle,3,50,200,"[1, 0, 2, 3, 4]",104.1531744
69,1,shuffle,3,50,500,"[1, 0, 2, 3, 4]",104.1531744
70,1,shuffle,3,100,10,"[1, 0, 2, 3, 4]",104.1531744
71,1,shuffle,3,100,50,"[1, 0, 2, 3, 4]",104.1531744
72,1,shuffle,3,100,100,"[1, 0, 2, 3, 4]",104.1531744
73,1,shuffle,3,100,200,"[1, 0, 2, 3, 4]",104.1531744
74,1,shuffle,3,100,500,"[1, 0, 2, 3, 4]",104.1531744
75,1,shuffle,5,5,10,"[1, 0, 2, 3, 4]",104.1531744
76,1,shuffle,5,5,50,"[1, 0, 2, 3, 4]",104.1531744
77,1,shuffle,5,5,100,"[1, 0, 2, 3, 4]",104.1531744
78,1,shuffle,5,5,200,"[1, 0, 2, 3, 4]",104.1531744
79,1,shuffle,5,5,500,"[1, 0, 2, 3, 4]",104.1531744
80,1,shuffle,5,10,10,"[1, 0, 2, 3, 4]",104.1531744
