,source,mutation_method,num_iterations,best_state,best_score
0,1,shuffle,10,"[1, 0, 2, 3, 4]",104.1531744
1,1,shuffle,50,"[1, 0, 2, 3, 4]",104.1531744
2,1,shuffle,100,"[1, 0, 2, 3, 4]",104.1531744
3,1,shuffle,200,"[1, 0, 2, 3, 4]",104.1531744
4,1,shuffle,500,"[1, 0, 2, 3, 4]",104.1531744
5,1,shuffle,1000,"[1, 0, 2, 3, 4]",104.1531744
6,1,swap,10,"[1, 3, 0, 2, 4]",104.133282
7,1,swap,50,"[1, 3, 0, 2, 4]",104.133282
8,1,swap,100,"[1, 3, 0, 2, 4]",104.133282
9,1,swap,200,"[1, 3, 0, 2, 4]",104.133282
10,1,swap,500,"[1, 3, 0, 2, 4]",104.133282
11,1,swap,1000,"[1, 3, 0, 2, 4]",104.133282
12,1,add,10,"[1, 4]",104.03
13,1,add,50,"[1, 4]",104.03
14,1,add,100,"[1, 4]",104.03
15,1,add,200,"[1, 4]",104.03
16,1,add,500,"[1, 4]",104.03
17,1,add,1000,"[1, 4]",104.03
18,1,all,10,"[1, 0, 2, 4]",104.3284
19,1,all,50,"[1, 0, 2, 4]",104.3284
20,1,all,100,"[1, 0, 2, 4]",104.3284
21,1,all,200,"[1, 0, 2, 4]",104.3284
22,1,all,500,"[1, 0, 2, 4]",104.3284
23,1,all,1000,"[1, 0, 2, 4]",104.3284
24,2,shuffle,10,"[3, 0, 8, 7, 2, 6, 9, 4, 1, 5]",0.0078125
25,2,shuffle,50,"[3, 0, 8, 7, 2, 6, 9, 4, 1, 5]",0.0078125
26,2,shuffle,100,"[3, 0, 8, 7, 2, 6, 9, 4, 1, 5]",0.0078125
27,2,shuffle,200,"[3, 0, 8, 7, 2, 6, 9, 4, 1, 5]",0.0078125
28,2,shuffle,500,"[3, 0, 8, 7, 2, 6, 9, 4, 1, 5]",0.0078125
29,2,shuffle,1000,"[3, 0, 8, 7, 2, 6, 9, 4, 1, 5]",0.0078125
30,2,swap,10,"[3, 1, 6, 0, 7, 8, 9, 4, 2, 5]",0.001953125
31,2,swap,50,"[3, 0, 6, 1, 7, 8, 9, 4, 2, 5]",0.00390625
32,2,swap,100,"[3, 0, 6, 1, 7, 8, 9, 4, 2, 5]",0.00390625
33,2,swap,200,"[3, 0, 1, 6, 7, 8, 9, 4, 2, 5]",0.0078125
34,2,swap,500,"[3, 0, 1, 6, 7, 8, 9, 4, 2, 5]",0.0078125
35,2,swap,1000,"[3, 0, 1, 6, 7, 8, 9, 4, 2, 5]",0.0078125
36,2,add,10,"[3, 0, 1, 5]",1.0
37,2,add,50,"[3, 0, 1, 5]",1.0
38,2,add,100,"[3, 5]",2.0
39,2,add,200,"[3, 5]",2.0
40,2,add,500,"[3, 5]",2.0
41,2,add,1000,"[3, 5]",2.0
42,2,all,10,"[3, 0, 1, 5]",1.0
43,2,all,50,"[3, 0, 1, 5]",1.0
44,2,all,100,"[3, 0, 1, 5]",1.0
45,2,all,200,"[3, 5]",2.0
46,2,all,500,"[3, 5]",2.0
47,2,all,1000,"[3, 5]",2.0
