,source,mutation_method,num_iterations,population_size,selection_type,best_state,best_score
0,1,shuffle,10,5,tournament,"[1, 0, 2, 3, 4]",104.1531744
1,1,shuffle,10,10,tournament,"[1, 0, 2, 3, 4]",104.1531744
2,1,shuffle,10,20,tournament,"[1, 0, 2, 3, 4]",104.1531744
3,1,shuffle,10,50,tournament,"[1, 0, 2, 3, 4]",104.1531744
4,1,shuffle,10,100,tournament,"[1, 0, 2, 3, 4]",104.1531744
5,1,shuffle,50,5,tournament,"[1, 0, 2, 3, 4]",104.1531744
6,1,shuffle,50,10,tournament,"[1, 0, 2, 3, 4]",104.1531744
7,1,shuffle,50,20,tournament,"[1, 0, 2, 3, 4]",104.1531744
8,1,shuffle,50,50,tournament,"[1, 0, 2, 3, 4]",104.1531744
9,1,shuffle,50,100,tournament,"[1, 0, 2, 3, 4]",104.1531744
10,1,shuffle,100,5,tournament,"[1, 0, 2, 3, 4]",104.1531744
11,1,shuffle,100,10,tournament,"[1, 0, 2, 3, 4]",104.1531744
12,1,shuffle,100,20,tournament,"[1, 0, 2, 3, 4]",104.1531744
13,1,shuffle,100,50,tournament,"[1, 0, 2, 3, 4]",104.1531744
14,1,shuffle,100,100,tournament,"[1, 0, 2, 3, 4]",104.1531744
15,1,shuffle,200,5,tournament,"[1, 0, 2, 4]",104.3284
16,1,shuffle,200,10,tournament,"[1, 0, 2, 4]",104.3284
17,1,shuffle,200,20,tournament,"[1, 0, 2, 3, 4]",104.1531744
18,1,shuffle,200,50,tournament,"[1, 0, 2, 3, 4]",104.1531744
19,1,shuffle,200,100,tournament,"[1, 0, 2, 3, 4]",104.1531744
20,1,shuffle,500,5,tournament,"[1, 0, 2, 3, 4]",104.1531744
21,1,shuffle,500,10,tournament,"[1, 0, 2, 3, 4]",104.1531744
22,1,shuffle,500,20,tournament,"[1, 0, 2, 3, 4]",104.1531744
23,1,shuffle,500,50,tournament,"[1, 0, 2, 3, 4]",104.1531744
24,1,shuffle,500,100,tournament,"[1, 0, 2, 3, 4]",104.1531744
25,1,swap,10,5,tournament,"[1, 0, 2, 3, 4]",104.1531744
26,1,swap,10,10,tournament,"[1, 0, 2, 3, 4]",104.1531744
27,1,swap,10,20,tournament,"[1, 0, 2, 3, 4]",104.1531744
28,1,swap,10,50,tournament,"[1, 0, 2, 3, 4]",104.1531744
29,1,swap,10,100,tournament,"[1, 0, 2, 3, 4]",104.1531744
30,1,swap,50,5,tournament,"[1, 0, 2, 3, 4]",104.1531744
31,1,swap,50,10,tournament,"[1, 0, 2, 3, 4]",104.1531744
32,1,swap,50,20,tournament,"[1, 0, 2, 3, 4]",104.1531744
33,1,swap,50,50,tournament,"[1, 0, 2, 3, 4]",104.1531744
34,1,swap,50,100,tournament,"[1, 0, 2, 4]",104.3284
35,1,swap,100,5,tournament,"[1, 0, 2, 3, 4]",104.1531744
36,1,swap,100,10,tournament,"[1, 0, 2, 3, 4]",104.1531744
37,1,swap,100,20,tournament,"[1, 0, 2, 3, 4]",104.1531744
38,1,swap,100,50,tournament,"[1, 0, 2, 3, 4]",104.1531744
39,1,swap,100,100,tournament,"[1, 0, 2, 3, 4]",104.1531744
40,1,swap,200,5,tournament,"[1, 0, 2, 3, 4]",104.1531744
41,1,swap,200,10,tournament,"[1, 0, 2, 3, 4]",104.1531744
42,1,swap,200,20,tournament,"[1, 0, 2, 3, 4]",104.1531744
43,1,swap,200,50,tournament,"[1, 0, 2, 3, 4]",104.1531744
44,1,swap,200,100,tournament,"[1, 0, 2, 3, 4]",104.1531744
45,1,swap,500,5,tournament,"[1, 0, 2, 3, 4]",104.1531744
46,1,swap,500,10,tournament,"[1, 0, 2, 3, 4]",104.1531744
47,1,swap,500,20,tournament,"[1, 0, 2, 3, 4]",104.1531744
48,1,swap,500,50,tournament,"[1, 0, 2, 3, 4]",104.1531744
49,1,swap,500,100,tournament,"[1, 0, 2, 3, 4]",104.1531744
50,1,add,10,5,tournament,"[1, 0, 2, 3, 4]",104.1531744
51,1,add,10,10,tournament,"[1, 0, 2, 4]",104.3284
52,1,add,10,20,tournament,"[1, 0, 2, 3, 4]",104.1531744
53,1,add,10,50,tournament,"[1, 0, 2, 3, 4]",104.1531744
54,1,add,10,100,tournament,"[1, 0, 2, 3, 4]",104.1531744
55,1,add,50,5,tournament,"[1, 0, 2, 3, 4]",104.1531744
56,1,add,50,10,tournament,"[1, 0, 2, 3, 4]",104.1531744
57,1,add,50,20,tournament,"[1, 0, 2, 4]",104.3284
58,1,add,50,50,tournament,"[1, 0, 2, 3, 4]",104.1531744
59,1,add,50,100,tournament,"[1, 0, 2, 3, 4]",104.1531744
60,1,add,100,5,tournament,"[1, 0, 2, 3, 4]",104.1531744
61,1,add,100,10,tournament,"[1, 0, 2, 3, 4]",104.1531744
62,1,add,100,20,tournament,"[1, 0, 2, 4]",104.3284
63,1,add,100,50,tournament,"[1, 0, 2, 3, 4]",104.1531744
64,1,add,100,100,tournament,"[1, 0, 2, 3, 4]",104.1531744
65,1,add,200,5,tournament,"[1, 0, 2, 3, 4]",104.1531744
66,1,add,200,10,tournament,"[1, 0, 2, 4]",104.3284
67,1,add,200,20,tournament,"[1, 0, 2, 3, 4]",104.1531744
68,1,add,200,50,tournament,"[1, 0, 2, 3, 4]",104.1531744
69,1,add,200,100,tournament,"[1, 0, 2, 3, 4]",104.1531744
70,1,add,500,5,tournament,"[1, 0, 2, 3, 4]",104.1531744
71,1,add,500,10,tournament,"[1, 0, 2, 3, 4]",104.1531744
72,1,add,500,20,tournament,"[1, 0, 2, 3, 4]",104.1531744
73,1,add,500,50,tournament,"[1, 0, 2, 3, 4]",104.1531744
74,1,add,500,100,tournament,"[1, 0, 2, 3, 4]",104.1531744
75,1,all,10,5,tournament,"[1, 0, 2, 3, 4]",104.1531744
76,1,all,10,10,tournament,"[1, 0, 2, 3, 4]",104.1531744
77,1,all,10,20,tournament,"[1, 0, 2, 3, 4]",104.1531744
78,1,all,10,50,tournament,"[1, 0, 2, 3, 4]",104.1531744
79,1,all,10,100,tournament,"[1, 0, 2, 4]",104.3284
80,1,all,50,5,tournament,"[1, 0, 2, 3, 4]",104.1531744
81,1,all,50,10,tournament,"[1, 0, 2, 4]",104.3284
82,1,all,50,20,tournament,"[1, 0, 2, 3, 4]",104.1531744
83,1,all,50,50,tournament,"[1, 0, 2, 3, 4]",104.1531744
84,1,all,50,100,tournament,"[1, 0, 2, 3, 4]",104.1531744
85,1,all,100,5,tournament,"[1, 0, 2, 3, 4]",104.1531744
86,1,all,100,10,tournament,"[1, 0, 2, 3, 4]",104.1531744
87,1,all,100,20,tournament,"[1, 0, 2, 3, 4]",104.1531744
88,1,all,100,50,tournament,"[1, 0, 2, 3, 4]",104.1531744
89,1,all,100,100,tournament,"[1, 0, 2, 3, 4]",104.1531744
90,1,all,200,5,tournament,"[1, 0, 2, 4]",104.3284
91,1,all,200,10,tournament,"[1, 0, 2, 4]",104.3284
92,1,all,200,20,tournament,"[1, 0, 2, 3, 4]",104.1531744
93,1,all,200,50,tournament,"[1, 0, 2, 3, 4]",104.1531744
94,1,all,200,100,tournament,"[1, 0, 2, 3, 4]",104.1531744
95,1,all,500,5,tournament,"[1, 0, 2, 4]",104.3284
96,1,all,500,10,tournament,"[1, 0, 2, 4]",104.3284
97,1,all,500,20,tournament,"[1, 0, 2, 4]",104.3284
98,1,all,500,50,tournament,"[1, 0, 2, 4]",104.3284
99,1,all,500,100,tournament,"[1, 0, 2, 3, 4]",104.1531744
100,1,shuffle,10,5,roulette,"[1, 0, 2, 4]",104.3284
101,1,shuffle,10,10,roulette,"[1, 0, 2, 3, 4]",104.1531744
102,1,shuffle,10,20,roulette,"[1, 0, 2, 3, 4]",104.1531744
103,1,shuffle,10,50,roulette,"[1, 0, 2, 4]",104.3284
104,1,shuffle,10,100,roulette,"[1, 0, 2, 4]",104.3284
105,1,shuffle,50,5,roulette,"[1, 0, 2, 4]",104.3284
106,1,shuffle,50,10,roulette,"[1, 0, 2, 3, 4]",104.1531744
107,1,shuffle,50,20,roulette,"[1, 0, 2, 3, 4]",104.1531744
108,1,shuffle,50,50,roulette,"[1, 0, 2, 4]",104.3284
109,1,shuffle,50,100,roulette,"[1, 0, 2, 4]",104.3284
110,1,shuffle,100,5,roulette,"[1, 0, 2, 4]",104.3284
111,1,shuffle,100,10,roulette,"[1, 0, 2, 3, 4]",104.1531744
112,1,shuffle,100,20,roulette,"[1, 0, 2, 3, 4]",104.1531744
113,1,shuffle,100,50,roulette,"[1, 0, 2, 4]",104.3284
114,1,shuffle,100,100,roulette,"[1, 0, 2, 4]",104.3284
115,1,shuffle,200,5,roulette,"[1, 0, 2, 4]",104.3284
116,1,shuffle,200,10,roulette,"[1, 0, 2, 3, 4]",104.1531744
117,1,shuffle,200,20,roulette,"[1, 0, 2, 3, 4]",104.1531744
118,1,shuffle,200,50,roulette,"[1, 0, 2, 4]",104.3284
119,1,shuffle,200,100,roulette,"[1, 0, 2, 4]",104.3284
120,1,shuffle,500,5,roulette,"[1, 0, 2, 4]",104.3284
121,1,shuffle,500,10,roulette,"[1, 0, 2, 3, 4]",104.1531744
122,1,shuffle,500,20,roulette,"[1, 0, 2, 3, 4]",104.1531744
123,1,shuffle,500,50,roulette,"[1, 0, 2, 4]",104.3284
124,1,shuffle,500,100,roulette,"[1, 0, 2, 4]",104.3284
125,1,swap,10,5,roulette,"[1, 0, 2, 4]",104.3284
126,1,swap,10,10,roulette,"[1, 0, 2, 3, 4]",104.1531744
127,1,swap,10,20,roulette,"[1, 0, 2, 4]",104.3284
128,1,swap,10,50,roulette,"[1, 0, 2, 4]",104.3284
129,1,swap,10,100,roulette,"[1, 0, 2, 4]",104.3284
130,1,swap,50,5,roulette,"[1, 0, 2, 4]",104.3284
131,1,swap,50,10,roulette,"[1, 0, 2, 3, 4]",104.1531744
132,1,swap,50,20,roulette,"[1, 0, 2, 4]",104.3284
133,1,swap,50,50,roulette,"[1, 0, 2, 4]",104.3284
134,1,swap,50,100,roulette,"[1, 0, 2, 4]",104.3284
135,1,swap,100,5,roulette,"[1, 0, 2, 4]",104.3284
136,1,swap,100,10,roulette,"[1, 0, 2, 3, 4]",104.1531744
137,1,swap,100,20,roulette,"[1, 0, 2, 4]",104.3284
138,1,swap,100,50,roulette,"[1, 0, 2, 4]",104.3284
139,1,swap,100,100,roulette,"[1, 0, 2, 4]",104.3284
140,1,swap,200,5,roulette,"[1, 0, 2, 4]",104.3284
141,1,swap,200,10,roulette,"[1, 0, 2, 3, 4]",104.1531744
142,1,swap,200,20,roulette,"[1, 0, 2, 4]",104.3284
143,1,swap,200,50,roulette,"[1, 0, 2, 4]",104.3284
